Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Qatar,QAT,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,7808,7831,7826,9287,9699,10161,11132,12545,13133,13846,15352,17266,20902,25255,27866,28480,31277,33668,34941,..
Qatar,QAT,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,1210,1258,1437,1918,2748,3055,3092,..
Qatar,QAT,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,5,12,37,65,142,127,306,447,..
Romania,ROU,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,409606,377136,354186,352721,347910,350263,..,..
Romania,ROU,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,452621,533152,582221,643911,685718,738806,834969,928175,1056622,1098188,999523,871842,705333,618157,578706,541653,535218,531586,538871,..,..
Romania,ROU,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,187195,181578,168152,165245,164522,168852,..,..
Romania,ROU,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,0,0,0,27355,18045,22348,21694,27712,28593,27892,28963,27485,23818,21356,19992,19315,17252,19154,19756,..,..
Russian Federation,RUS,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,2269386,2994807,3516093,3530896,3263421,3032738,..,..
Russian Federation,RUS,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,6331324,7167618,7965217,8592271,8605952,9003208,9167277,9370428,9446408,9330115,..,8652607,7983111,7528163,6995732,6592416,6182300,5886641,5774913,..,..
Russian Federation,RUS,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,3804501,2651864,1692926,1235583,1136066,1213147,..,..
